step,train_loss,val_bpb
200,9.195837,2.572203
400,7.485440,2.120886
600,6.593936,1.955920
800,6.179870,1.865788
1000,5.895678,1.792022
1200,5.661865,1.732449
1400,5.466841,1.676345
1600,5.308501,1.629217
1800,5.147119,1.589522
2000,5.018639,1.555310
2200,4.917476,1.530512
2400,4.828253,1.501334
2600,4.730861,1.474323
2800,4.650995,1.451507
3000,4.584436,1.430833
3200,4.535419,1.414882
3400,4.475458,1.399536
3600,4.422895,1.385815
3800,4.399938,1.375432
4000,4.359809,1.365123
4200,4.317571,1.353976
4400,4.289125,1.346185
4600,4.271060,1.338157
4800,4.240652,1.330419
5000,4.226842,1.325184
5200,4.212069,1.317516
5400,4.210552,1.310644
5600,4.165395,1.306495
5800,4.138221,1.300882
6000,4.125396,1.295313
6200,4.112282,1.291917
6400,4.091717,1.288260
6600,4.077357,1.283531
6800,4.077089,1.279326
7000,4.045804,1.275908
7200,4.021749,1.272554
7400,4.024077,1.269193
7600,4.005731,1.266415
7800,3.988494,1.263062
8000,3.979838,1.260307
8200,3.974282,1.256477
8400,3.961996,1.253456
8600,3.946579,1.251026
8800,3.935739,1.248840
9000,3.940748,1.246486
9200,3.924553,1.244877
9400,3.906824,1.242553
9600,3.903467,1.239150
9800,3.906002,1.236598
10000,3.884512,1.233776
10200,3.881781,1.232964
10400,3.893719,1.230860
10600,3.896653,1.228659
10800,3.862071,1.227010
11000,3.836840,1.225495
11200,3.842567,1.223254
11400,3.842027,1.221472
11600,3.827152,1.220011
11800,3.824571,1.218860
12000,3.820393,1.217463
12200,3.802415,1.215647
12400,3.794549,1.214654
12600,3.792389,1.213022
12800,3.784547,1.212462
13000,3.781418,1.211429
13200,3.772328,1.210510
13400,3.776761,1.209086
13600,3.769155,1.208076
13800,3.758699,1.207319
14000,3.758405,1.206468
14200,3.762976,1.205729
14400,3.752865,1.205203
14600,3.740385,1.204802
14800,3.742999,1.203624
15000,3.747915,1.203220
15200,3.734214,1.202774
15400,3.743516,1.202340
15600,3.767630,1.201996
15800,3.755116,1.201656
16000,3.733254,1.201442
